date,acc_name_ch,nav_adj,acc_code
29/10/2013,富国天惠,4.848126,161005.OF
30/10/2013,富国天惠,4.928076,161005.OF
31/10/2013,富国天惠,4.891823,161005.OF
01/11/2013,富国天惠,4.888587,161005.OF
04/11/2013,富国天惠,4.907037,161005.OF
05/11/2013,富国天惠,4.963681,161005.OF
06/11/2013,富国天惠,4.865929,161005.OF
07/11/2013,富国天惠,4.783066,161005.OF
08/11/2013,富国天惠,4.722861,161005.OF
11/11/2013,富国天惠,4.737427,161005.OF
12/11/2013,富国天惠,4.772708,161005.OF
13/11/2013,富国天惠,4.686285,161005.OF
14/11/2013,富国天惠,4.733866,161005.OF
15/11/2013,富国天惠,4.819966,161005.OF
18/11/2013,富国天惠,4.968213,161005.OF
19/11/2013,富国天惠,4.957531,161005.OF
20/11/2013,富国天惠,4.969831,161005.OF
21/11/2013,富国天惠,4.953,161005.OF
22/11/2013,富国天惠,4.929371,161005.OF
25/11/2013,富国天惠,4.908655,161005.OF
26/11/2013,富国天惠,4.897002,161005.OF
27/11/2013,富国天惠,4.944584,161005.OF
28/11/2013,富国天惠,5.014499,161005.OF
29/11/2013,富国天惠,5.058197,161005.OF
02/12/2013,富国天惠,4.870137,161005.OF
03/12/2013,富国天惠,4.959797,161005.OF
04/12/2013,富国天惠,5.021297,161005.OF
05/12/2013,富国天惠,5.003818,161005.OF
06/12/2013,富国天惠,4.970155,161005.OF
09/12/2013,富国天惠,5.022268,161005.OF
10/12/2013,富国天惠,5.068554,161005.OF
11/12/2013,富国天惠,5.020326,161005.OF
12/12/2013,富国天惠,5.045249,161005.OF
13/12/2013,富国天惠,5.065318,161005.OF
16/12/2013,富国天惠,4.987634,161005.OF
17/12/2013,富国天惠,4.951705,161005.OF
18/12/2013,富国天惠,4.960121,161005.OF
19/12/2013,富国天惠,4.896031,161005.OF
20/12/2013,富国天惠,4.823203,161005.OF
23/12/2013,富国天惠,4.841653,161005.OF
24/12/2013,富国天惠,4.850716,161005.OF
25/12/2013,富国天惠,4.923868,161005.OF
26/12/2013,富国天惠,4.870137,161005.OF
27/12/2013,富国天惠,4.942318,161005.OF
30/12/2013,富国天惠,4.976952,161005.OF
31/12/2013,富国天惠,5.006731,161005.OF
02/01/2014,富国天惠,5.027447,161005.OF
03/01/2014,富国天惠,5.022591,161005.OF
